,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-30 08:08:39+00:00,Amanda de Cadenet talks about her life-saving abortion after suffering an incomplete miscarriage https://t.co/YO7Z3DqwpS https://t.co/CI0WDHIgEe,,SocialFlow
1,Rockford,"Milwaukee, WI",,False,2022-06-30 07:50:54+00:00,"@YahooEnt: Want to live like Dolly Parton? Stay overnight on her tour bus, complete with a wig cabinet https://t.co/8Nff7MclRL https://t…",,Twitter for iPad
2,Tatyana Rodriguez,,18 || FL 🌴,False,2022-06-30 07:47:00+00:00,@YahooEnt: Elizabeth Olsen confirms she and Robbie Arnett 'eloped' and 'had a wedding at another time' https://t.co/3EWoBZP3Mj https://t…,,Twitter for iPhone
3,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-30 07:46:24+00:00,Ali Wong is surprised by her teenage self in Prime Video's Paper Girls teaser https://t.co/UOpZyyJFi5 https://t.co/Kqd9ZEkYqP,,SocialFlow
4,Matthew Duggan,,History Friend. Mark. Pokémon Master. Yoga Teacher (200 hour RYT). He/Him.,False,2022-06-30 07:37:42+00:00,Blah blah blah. Lemme stay on the Rock of Love bus. https://t.co/3sPxj1v4xh,,Twitter for iPhone
5,Mary,,"Love soaps,rock and roll,country! Oh yeah,and boy bands. Judge me!!!Tattooed,bearded, Southern men are a fetish too.",False,2022-06-30 07:30:29+00:00,Now I must have a wig cabinet!!! https://t.co/VwFGob9505,,Twitter for Android
6,N.Con,Getting Closer,"18, Berklee ‘26 - Singer Songwriter, Developing a Fantasy Series, Star Wars, Marvel, Lord of The Rings, Harry Potter

Love Thy Neighbor",False,2022-06-30 07:29:11+00:00,I'm gonna have a talk with him. Just a talk I swear https://t.co/h3olT6whzn,,Twitter Web App
7,Morgan⁷,,"Female, OT7 BTS💜, 97-liner",False,2022-06-30 07:25:24+00:00,@YahooEnt It looks tacky enough that I actually wouldn't even be comfortable sleeping there.,,Twitter for Android
8,𝕞𝕒𝕟𝕠 ❄️,Philippians 4:13 💫,“𝙔𝙤𝙪 𝙖𝙨𝙠𝙚𝙙 𝙛𝙤𝙧 𝙢𝙮 𝙝𝙪𝙨𝙩𝙡𝙚. 𝙄 𝙜𝙖𝙫𝙚 𝙮𝙤𝙪 𝙢𝙮 𝙝𝙚𝙖𝙧𝙩.”     | 𝟚𝟙 | #LakeShow | Elizabeth Olsen’s 2nd husband,False,2022-06-30 07:23:57+00:00,SHOULDVE BEEN ME NOOOOOOOOOO https://t.co/BSJgtYxWdt,,Twitter for iPhone
9,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-30 07:23:26+00:00,"‘Black-ish’ stars Anthony Anderson and Tracee Ellis Ross on the show’s legacy, and when they’ll be ready for a reunion https://t.co/oXVd7jUaTj https://t.co/6eIj5mb9Ef",,SocialFlow
