text,label,is_hebrew,is_ads
"@bitcom_exchange: 📢 CMO Toya Zhang spoke to @YahooFinance this week on managing the Crypto winter:

💬""The future crypto services format…",1,False,False
"My view on the current market mood, next moves &amp; sectors to watch closely with @LedesmaLyllah @CoinDesk @YahooFinance https://t.co/au56XfhgRu",1,False,False
Safety. How about you just show up for work and do your job. https://t.co/K1TLp0traN,1,False,False
"@YahooFinance @t_xiaoduo_zhang 💬CMO Toya Zhang was also featured in @MarketWatch at #EBC22 

https://t.co/Xbo81NRIRN",1,False,False
"@YahooFinance: Roe v. Wade: Companies must create culture of 'psychological safety,' expert says https://t.co/Rq1VKs8io0 by @alliecanal8…",1,False,False
"@YahooFinance: Roe v. Wade: Companies must create culture of 'psychological safety,' expert says https://t.co/Rq1VKs8io0 by @alliecanal8…",1,False,False
"📢 CMO Toya Zhang spoke to @YahooFinance this week on managing the Crypto winter:

💬""The future crypto services format will be a combination of #Web2 &amp; #Web3, Exchanges must prioritise a customer focussed and on-chain aggregated service approach""

📰 https://t.co/P1MAHXj5WL https://t.co/gb0uOn4ewJ",1,False,False
"@racingsocialnft: ‼️ GREAT NEWS ‼️

We have been featured on @YahooFinance 

Our article about the RSC fund caught a lot of attention, w…",1,False,False
"Roe v. Wade: Companies must create culture of 'psychological safety,' expert says https://t.co/Rq1VKs8io0 by @alliecanal8193 https://t.co/IfoPceThhN",1,False,False
@YahooFinance: Nike’s retail strategy ‘should result in more full-priced’ products: Analyst https://t.co/HXkKI6zd4Z by @yaseennshah22 ht…,1,False,False
@YahooFinance: Nike’s retail strategy ‘should result in more full-priced’ products: Analyst https://t.co/HXkKI6zd4Z by @yaseennshah22 ht…,1,False,False
@YahooFinance: Bentley charts path forward with new Mulliner line and EV future https://t.co/DNxqnxXLuv by @Pras_S https://t.co/7PjnifJT…,1,False,False
Nike’s retail strategy ‘should result in more full-priced’ products: Analyst https://t.co/HXkKI6zd4Z by @yaseennshah22 https://t.co/EM6u4sN21q,1,False,False
"@cielo_che_cade @YahooFinance @CoreLogicInc @SelmaHepp Me too.  I was following along and when I got to that at the very I end I was like uuuuh, what..? https://t.co/yNYwT8vcXE",1,False,False
Stanley Cup Final viewership nearly doubles as ESPN hopes to turn new fans into subscribers https://t.co/TVKYlaTweW by @_JoshSchafer https://t.co/Y6U6K3ZS24,1,False,False
"Tesla reportedly lays off 200 in Autopilot unit, shutters San Mateo office https://t.co/GBVUA8JcOq by @Pras_S https://t.co/OkiGFWge8K",1,False,False
"Housing: ‘We’re at a tipping point’ for home prices, economist says https://t.co/3DawlBPs44 by @__gabriellacruz https://t.co/CgVskXKCKd",1,False,False
Over 36 million children may lose food aid this week https://t.co/3EWWOgd0EM by @__gabriellacruz https://t.co/WyOyMIaIIF,1,False,False
"America is slowly forgetting Abercrombie &amp; Fitch, survey shows https://t.co/8A8hR2k9By by @daniromerotv https://t.co/taDGl7ZXHU",1,False,False
