,text
0,Bill Cosby to have a party to mark 1st anniversary of prison release
1,"Ad
U Should Put a Towel Under Hotel Door"
2,Howard Stern wants Bradley Cooper as 2024 presidential running mate: 'It sends chills up your spine'
3,'Have you ever killed a man?' Kid reporters shock 'Minions' star Steve Carell with questions testing his evilness
4,Austin Butler's 'Elvis' acting lessons began when Tom Hanks delivered a typewriter to his door
5,"Ad
This Is What Historical Figures Really Looked Like"
6,See the 'Thor: Love and Thunder' cast unbox merch from the latest Marvel blockbuster (exclusive)
7,"Zawe Ashton Is Pregnant, Expecting First Baby With Fiancé Tom Hiddleston"
8,‘Jeopardy!’ fans can’t even after contestant confuses Public Enemy with Marky Mark and the Funky Bunch
9,"Ad
Be 100% Sure If You'll Be Accepted"
10,Machine Gun Kelly explains self-sustained bloody head injury at concert: 'I didn’t have a fork'
11,Zelda Williams to make directing debut with 'bonkers' zombie comedy Lisa Frankenstein
12,"Palace Probe Following Meghan Markle Bullying Claims Is 'Complete,' Says Royal Aide"
13,"Ad
At 75, Jane Birkin Is Truly Irresistible"
14,Machine Gun Kelly Gives New Meaning to ‘My Bloody Valentine’ by Smashing Champagne Glass in His Face
15,Cole Sprouse and Kathryn Newton to Lead ‘Lisa Frankenstein’ From Diablo Cody Script
16,See Avril Lavigne Recreate Her Let Go Album Cover 20 Years Later
17,"Ad
These 17 Fashion Items Make You Look Older"
18,Ali Wong is surprised by her teenage self in Prime Video's Paper Girls teaser
19,Sam Rockwell and Saoirse Ronan investigate a murder in 1950s London in the See How They Run trailer
20,Leon Brown — 'Sister Wives' star — comes out as transgender in emotional post
21,"Ad
12 Foods You Can Eat a Lot of Without Getting Fat"
22,Hilarie Burton shares story of abortion after pregnancy loss: 'I only have my daughter because of my abortion'
23,"High School Musical Season 3 Trailer Teases Summer Camp Romance Drama — Plus, Who Will Star in Frozen?"
24,Elizabeth Olsen Confirms She and Robbie Arnett 'Eloped' and 'Had a Wedding at Another Time'
25,"Ad
Habits That Damage Your Kidneys"
26,‘Ticket to Paradise’ Trailer Reunites Julia Roberts and George Clooney in Their Rom-Com Return
27,R. Kelly to be sentenced in sex-trafficking case: The Refresh
28,Alexandria Ocasio-Cortez calls out Mark Meadows for allegedly seeking pardon: 'He knew that he was breaking the law'
