,text
0,
1,
2,"S&P Futures
3,778.75
-42.50(-1.11%)"
3,"Dow Futures
30,682.00
-317.00(-1.02%)"
4,"Nasdaq Futures
11,552.00
-139.00(-1.19%)"
5,"Russell 2000 Futures
1,697.70
-23.70(-1.38%)"
6,"Crude Oil
108.68
-1.10(-1.00%)"
7,
8,"Futures fall, S&P 500 heads for worst first half in 52 years"
9,Strategist: Recession 'barely beginning to be priced in'
10,The bitter battle for Spirit Airlines takes another odd turn
11,Global response to climate will 'change the world over the next 75 years': Costis Maglaras
12,Influencers with Andy Serwer: Costis Maglaras
13,Why this round of tech layoffs feels different
14,"Bed Bath & Beyond is 'in the end days,' analyst says"
15,Big Food shakeup ‘already underway’ amid Kellogg's split
16,Tech stocks are having their worst year ever. Here's what history says happens next: Morning Brief
17,The Most Expensive Divorce Settlements of All-Time
18,"60-Year Wall Street Veteran Says S&P 500 Will Sink to 3,100"
19,"Chip Stocks Are in for Trouble, Analyst Says. 4 Stocks Get Downgrades."
20,Here’s how much your Social Security check is likely to go up next year
21,‘This recession will be the most severe yet’: Peter Schiff called the 2008 financial crash and now says the next downturn will be worse. Here's what he likes for safety
22,China Just Bought These Major US Companies
23,Should I wait for real estate prices to crash before I buy a house? Here are 3 simple reasons why this housing downturn is nothing like 2008
24,How can I 'quiet' my portfolio? Here are 3 top dividend stocks for stable cash return and inflation protection — one of them even offers an incredible 14.9% yield
25,Germany seizes three Gazprom tankers in new blow for Putin - live updates
26,Sell Exxon Mobil and other energy stocks before these headwinds hit prices once again
27,These Maps Will Change Your View Of The World
28,Stock Futures Drop Ahead of Fed’s Favored Inflation Gauge
29,Dow Jones Dives As Inflation Fears Rise; This Stock Pops As Warren Buffett Raises Stake; Nike Plunges
30,RBC Says These 2 Dividend Stocks Have Strong Growth Potential
31,New report reveals major source of recent crypto market chaos
32,12 Foods You Can Eat a Lot of Without Getting Fat
33,"Bitcoin fights to stay above $20,000 as Saylor buys another $10 million worth"
34,‘They’ll chicken out’: Fund legend Rick Rule says the Fed won’t keep hiking rates aggressively to prevent ‘amazing damage.’ Here are 3 spots he likes for your money
35,Pay Fewer Taxes on Your Retirement Income With This Withdrawal Strategy
36,Is Ford Stock A Buy Or Sell After Signing Lithium Supply Deal?
37,These 17 Fashion Items Make You Look Older
38,"Tesla Deliveries Are Coming. The ‘Line in the Sand’ Is 250,000 Cars."
39,2 “Strong Buy” Dividend Stocks With at Least 7% Dividend Yield
40,The bitter battle for Spirit Airlines takes another odd turn
41,"Cathie Wood: I Erred On Inflation, But Recession is Here"
42,Tom Cruise's Stunt Double Is His Spitting Image
43,"Carnival Stock Could Fall to $0 in a Worst-Case Scenario, Analyst Says"
44,"Dow Jones Futures Fall: Inflation, Jobs Data Could Be Catalyst For Ailing Market Rally"
45,"Amazon Shares Could Nearly Triple From Here, One Analyst Says"
